store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
011,011 - Hail - Almoosa - MAATC,336185,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336203,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336257,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336347,3.00,6.00,-3.00,OVER
011,011 - Hail - Almoosa - MAATC,336389,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336131,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336143,3.00,0.00,3.00,SHORT
019,019 - Geel Alnaka - MAATC,336167,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336173,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336185,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336203,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336389,3.00,6.00,-3.00,OVER
019,019 - Geel Alnaka - MAATC,336461,3.00,6.00,-3.00,OVER
028,028 - North of Buridah Almoosa - MAATC,336131,3.00,6.00,-3.00,OVER
028,028 - North of Buridah Almoosa - MAATC,336143,3.00,0.00,3.00,SHORT
028,028 - North of Buridah Almoosa - MAATC,336167,3.00,6.00,-3.00,OVER
028,028 - North of Buridah Almoosa - MAATC,336173,3.00,6.00,-3.00,OVER
028,028 - North of Buridah Almoosa - MAATC,336185,3.00,6.00,-3.00,OVER
028,028 - North of Buridah Almoosa - MAATC,336203,3.00,6.00,-3.00,OVER
031,031 - Al Mousa Tabuk - MAATC,336131,3.00,6.00,-3.00,OVER
031,031 - Al Mousa Tabuk - MAATC,336143,3.00,0.00,3.00,SHORT
031,031 - Al Mousa Tabuk - MAATC,336167,3.00,6.00,-3.00,OVER
031,031 - Al Mousa Tabuk - MAATC,336185,3.00,6.00,-3.00,OVER
034,034 - Lacaly Jeddah - MAATC,336041,6.00,3.00,3.00,SHORT
034,034 - Lacaly Jeddah - MAATC,336143,3.00,0.00,3.00,SHORT
034,034 - Lacaly Jeddah - MAATC,336257,3.00,0.00,3.00,SHORT
035,035 - Lacali - MAATC,336143,3.00,0.00,3.00,SHORT
035,035 - Lacali - MAATC,336257,3.00,0.00,3.00,SHORT
035,035 - Lacali - MAATC,336347,3.00,0.00,3.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336036,3.00,0.00,3.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336037,3.00,0.00,3.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336143,3.00,0.00,3.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336257,3.00,0.00,3.00,SHORT
036,036 - Lacaly Dareen Mall - MAATC,336347,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336036,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336037,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336077,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336131,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336143,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336167,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336257,3.00,0.00,3.00,SHORT
037,037 - Lacaly AlMahmal - MAATC,336347,3.00,0.00,3.00,SHORT
WH-MAIN,WH-MAIN (putaway),336112,0.00,3.00,-3.00,OVER
WH-MAIN,WH-MAIN (putaway),336151,0.00,3.00,-3.00,OVER
WH-MAIN,WH-MAIN (putaway),336195,0.00,3.00,-3.00,OVER
WH-MAIN,WH-MAIN (putaway),336290,0.00,3.00,-3.00,OVER
WH-MAIN,WH-MAIN (putaway),336389,0.00,3.00,-3.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336118,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336132,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336162,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336172,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336198,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336204,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336208,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336210,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336216,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336237,1.00,3.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336238,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336250,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336268,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336354,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336388,2.00,4.00,-2.00,OVER
006,006 - Alhfof - Almoosa - MAATC,336396,2.00,4.00,-2.00,OVER
